2012-12-17 18:28:02 : Próbkowanie S(q) w 2D dla par. startowych: d=x, Z=10000 phi=y salt=0.1
2012-12-17 18:28:02 : X: diam od 5 do 100, Y: phi od 1e-5 do 0.3
2012-12-17 18:28:02 : ** Obliczam kolumne dla diam = 5**
2012-12-17 18:28:02 : Obliczam S(q) dla phi = 1e-5
RunRY - Iteracja 0 [CORE 0]: ??? = -1, alpha = 0.1498
RunRY - Iteracja 1 [CORE 1]: ??? = -1, alpha = 0.136748065190456
RunRY - Iteracja 2 [CORE 2]: ??? = -1, alpha = 0.17976
RunRY - Iteracja 3 [CORE 3]: ??? = -1, alpha = 0.113956720992047
RunRY - Iteracja 4 [CORE 0]: ??? = -1, alpha = 0.215712
RunRY - Iteracja 5 [CORE 1]: ??? = -1, alpha = 0.0949639341600392
RunRY - Iteracja 6 [CORE 2]: ??? = -1, alpha = 0.2588544
RunRY - Iteracja 7 [CORE 3]: ??? = -1, alpha = 0.0791366118000327
RunRY - Iteracja 8 [CORE 0]: ??? = -1, alpha = 0.31062528
RunRY - Iteracja 9 [CORE 1]: ??? = -1, alpha = 0.0659471765000272
RunRY - Iteracja 10 [CORE 2]: ??? = -1, alpha = 0.372750336
RunRY - Iteracja 11 [CORE 3]: ??? = -1, alpha = 0.0549559804166894
RunRY - Iteracja 12 [CORE 0]: ??? = -1, alpha = 0.4473004032
RunRY - Iteracja 13 [CORE 1]: ??? = -1, alpha = 0.0457966503472411
RunRY - Iteracja 14 [CORE 2]: ??? = -1, alpha = 0.53676048384
RunRY - Iteracja 15 [CORE 3]: ??? = -1, alpha = 0.0381638752893676
RunRY - Iteracja 16 [CORE 0]: ??? = -1, alpha = 0.644112580608
RunRY - Iteracja 17 [CORE 1]: ??? = -1, alpha = 0.0318032294078064
RunRY - Iteracja 18 [CORE 2]: ??? = -1, alpha = 0.7729350967296
RunRY - Iteracja 19 [CORE 3]: ??? = -1, alpha = 0.026502691173172
RunRY - Iteracja 0 [CORE 0]: ??? = -1, alpha = 0.1498
RunRY - Iteracja 1 [CORE 1]: ??? = -1, alpha = 0.136748065190456
RunRY - Iteracja 2 [CORE 2]: ??? = -1, alpha = 0.17976
RunRY - Iteracja 3 [CORE 3]: ??? = -1, alpha = 0.113956720992047
RunRY - Iteracja 4 [CORE 0]: ??? = -1, alpha = 0.215712
RunRY - Iteracja 5 [CORE 1]: ??? = -1, alpha = 0.0949639341600392
RunRY - Iteracja 6 [CORE 2]: ??? = -1, alpha = 0.2588544
RunRY - Iteracja 7 [CORE 3]: ??? = -1, alpha = 0.0791366118000327
RunRY - Iteracja 8 [CORE 0]: ??? = -1, alpha = 0.31062528
RunRY - Iteracja 9 [CORE 1]: ??? = -1, alpha = 0.0659471765000272
RunRY - Iteracja 10 [CORE 2]: ??? = -1, alpha = 0.372750336
RunRY - Iteracja 11 [CORE 3]: ??? = -1, alpha = 0.0549559804166894
RunRY - Iteracja 12 [CORE 0]: ??? = -1, alpha = 0.4473004032
RunRY - Iteracja 13 [CORE 1]: ??? = -1, alpha = 0.0457966503472411
RunRY - Iteracja 14 [CORE 2]: ??? = -1, alpha = 0.53676048384
RunRY - Iteracja 15 [CORE 3]: ??? = -1, alpha = 0.0381638752893676
RunRY - Iteracja 16 [CORE 0]: ??? = -1, alpha = 0.644112580608
RunRY - Iteracja 17 [CORE 1]: ??? = -1, alpha = 0.0318032294078064
RunRY - Iteracja 18 [CORE 2]: ??? = -1, alpha = 0.7729350967296
RunRY - Iteracja 19 [CORE 3]: ??? = -1, alpha = 0.026502691173172
2012-12-17 18:32:12 : RunRY: I tried to fit alpha 32 times and still can't do it! Skipping fit.
2012-12-17 18:32:12 : Nie udalo sie obliczyc S(q) dla phi = 1e-5!
2012-12-17 18:32:12 : Obliczam S(q) dla phi = 3.14382177153182e-005
RunRY - Iteracja 0 [CORE 0]: ??? = -1, alpha = 0.026502691173172
RunRY - Iteracja 1 [CORE 1]: ??? = -1, alpha = 0.0241935363168989
RunRY - Iteracja 2 [CORE 2]: ??? = -1, alpha = 0.0318032294078064
RunRY - Iteracja 3 [CORE 3]: ??? = -1, alpha = 0.0201612802640824
RunRY - Iteracja 4 [CORE 0]: ??? = -1, alpha = 0.0381638752893677
RunRY - Iteracja 5 [CORE 1]: ??? = -1, alpha = 0.0168010668867354
RunRY - Iteracja 6 [CORE 2]: ??? = -1, alpha = 0.0457966503472412
RunRY - Iteracja 7 [CORE 3]: ??? = -1, alpha = 0.0140008890722795
2012-12-17 18:32:40 : RunRY: Done, fitted alfa =  2.073E-02, start_alpha = 0.0168010668867354 $var = -1, S(qm) =  1.024E+00
2012-12-17 18:32:41 : Obliczam S(q) dla phi = 9.88361533115748e-005
RunRY - Iteracja 0 [CORE 0]: ??? = -1, alpha = 0.02073
RunRY - Iteracja 1 [CORE 1]: ??? = -1, alpha = 0.0189238143618035
RunRY - Iteracja 2 [CORE 2]: ??? = -1, alpha = 0.024876
RunRY - Iteracja 3 [CORE 3]: ??? = -1, alpha = 0.0157698453015029
RunRY - Iteracja 4 [CORE 0]: ??? = -1, alpha = 0.0298512
RunRY - Iteracja 5 [CORE 1]: ??? = -1, alpha = 0.0131415377512524
RunRY - Iteracja 6 [CORE 2]: ??? = -1, alpha = 0.03582144
RunRY - Iteracja 7 [CORE 3]: ??? = -1, alpha = 0.010951281459377
2012-12-17 18:33:09 : RunRY: Done, fitted alfa =  4.403E-02, start_alpha = 0.0298512 $var = -1, S(qm) =  1.016E+00
2012-12-17 18:33:09 : Obliczam S(q) dla phi = 0.000310723250595386
RunRY - Iteracja 0 [CORE 0]: ??? = -1, alpha = 0.04403
