charge	phi	Sq_max	diam
200	1e-5	1.952E+00	20
285.418299448364	1e-5	2.435E+00	20
407.318028299979	1e-5	3.054E+00	20
581.280094860202	1e-5	3.754E+00	20
829.539880890912	1e-5	4.397E+00	20
1183.82931064241	1e-5	4.760E+00	20
1689.43274340343	1e-5	4.603E+00	20
2410.97510327295	1e-5	3.880E+00	20
3440.68206994254	1e-5	2.897E+00	20
4910.16812672738	1e-5	2.089E+00	20
7007.25918368044	1e-5	1.601E+00	20
9999.99999999999	1e-5	1.339E+00	20
200	2.55276609552372e-005	2.076E+00	20
285.418299448364	2.55276609552372e-005	2.551E+00	20
407.318028299979	2.55276609552372e-005	3.100E+00	20
581.280094860202	2.55276609552372e-005	3.628E+00	20
829.539880890912	2.55276609552372e-005	3.965E+00	20
1183.82931064241	2.55276609552372e-005	3.910E+00	20
1689.43274340343	2.55276609552372e-005	3.396E+00	20
2410.97510327295	2.55276609552372e-005	2.636E+00	20
3440.68206994254	2.55276609552372e-005	1.979E+00	20
4910.16812672738	2.55276609552372e-005	1.559E+00	20
7007.25918368044	2.55276609552372e-005	1.324E+00	20
9999.99999999999	2.55276609552372e-005	1.193E+00	20
200	6.51661473845543e-005	2.182E+00	20
285.418299448364	6.51661473845543e-005	2.619E+00	20
407.318028299979	6.51661473845543e-005	3.051E+00	20
581.280094860202	6.51661473845543e-005	3.349E+00	20
829.539880890912	6.51661473845543e-005	3.351E+00	20
1183.82931064241	6.51661473845543e-005	2.989E+00	20
1689.43274340343	6.51661473845543e-005	2.411E+00	20
2410.97510327295	6.51661473845543e-005	1.881E+00	20
3440.68206994254	6.51661473845543e-005	1.523E+00	20
4910.16812672738	6.51661473845543e-005	1.311E+00	20
7007.25918368044	6.51661473845543e-005	1.189E+00	20
9999.99999999999	6.51661473845543e-005	1.119E+00	20
200	0.000166353931619192	2.255E+00	20
285.418299448364	0.000166353931619192	2.611E+00	20
407.318028299979	0.000166353931619192	2.871E+00	20
581.280094860202	0.000166353931619192	2.908E+00	20
829.539880890912	0.000166353931619192	2.658E+00	20
1183.82931064241	0.000166353931619192	2.224E+00	20
1689.43274340343	0.000166353931619192	1.799E+00	20
2410.97510327295	0.000166353931619192	1.492E+00	20
3440.68206994254	0.000166353931619192	1.301E+00	20
4910.16812672738	0.000166353931619192	1.188E+00	20
7007.25918368044	0.000166353931619192	1.120E+00	20
9999.99999999999	0.000166353931619192	1.079E+00	20
200	0.000424662676494545	2.253E+00	20
285.418299448364	0.000424662676494545	2.483E+00	20
407.318028299979	0.000424662676494545	2.550E+00	20
581.280094860202	0.000424662676494545	2.393E+00	20
829.539880890912	0.000424662676494545	2.073E+00	20
1183.82931064241	0.000424662676494545	1.733E+00	20
1689.43274340343	0.000424662676494545	1.470E+00	20
2410.97510327295	0.000424662676494545	1.297E+00	20
3440.68206994254	0.000424662676494545	1.190E+00	20
4910.16812672738	0.000424662676494545	1.124E+00	20
7007.25918368044	0.000424662676494545	1.083E+00	20
9999.99999999999	0.000424662676494545	1.057E+00	20
200	0.00108406448258963	2.187E+00	20
285.418299448364	0.00108406448258963	2.275E+00	20
407.318028299979	0.00108406448258963	2.189E+00	20
581.280094860202	0.00108406448258963	1.959E+00	20
829.539880890912	0.00108406448258963	1.687E+00	20
1183.82931064241	0.00108406448258963	1.460E+00	20
1689.43274340343	0.00108406448258963	1.301E+00	20
2410.97510327295	0.00108406448258963	1.198E+00	20
3440.68206994254	0.00108406448258963	1.133E+00	20
4910.16812672738	0.00108406448258963	1.091E+00	20
7007.25918368044	0.00108406448258963	1.063E+00	20
9999.99999999999	0.00108406448258963	1.045E+00	20
200	0.00276736305651629	2.068E+00	20
285.418299448364	0.00276736305651629	2.041E+00	20
407.318028299979	0.00276736305651629	1.884E+00	20
581.280094860202	0.00276736305651629	1.668E+00	20
829.539880890912	0.00276736305651629	1.470E+00	20
1183.82931064241	0.00276736305651629	1.320E+00	20
1689.43274340343	0.00276736305651629	1.218E+00	20
2410.97510327295	0.00276736305651629	1.151E+00	20
3440.68206994254	0.00276736305651629	1.106E+00	20
4910.16812672738	0.00276736305651629	1.076E+00	20
7007.25918368044	0.00276736305651629	1.056E+00	20
9999.99999999999	0.00276736305651629	1.041E+00	20
200	0.00706443058467968	1.948E+00	20
285.418299448364	0.00706443058467968	1.855E+00	20
407.318028299979	0.00706443058467968	1.688E+00	20
581.280094860202	0.00706443058467968	1.512E+00	20
829.539880890912	0.00706443058467968	1.366E+00	20
1183.82931064241	0.00706443058467968	1.259E+00	20
1689.43274340343	0.00706443058467968	1.185E+00	20
2410.97510327295	0.00706443058467968	1.134E+00	20
3440.68206994254	0.00706443058467968	1.100E+00	20
4910.16812672738	0.00706443058467968	1.075E+00	20
7007.25918368044	0.00706443058467968	1.058E+00	20
9999.99999999999	0.00706443058467968	1.045E+00	20
200	0.0180338388807511	1.891E+00	20
285.418299448364	0.0180338388807511	1.773E+00	20
407.318028299979	0.0180338388807511	1.615E+00	20
581.280094860202	0.0180338388807511	1.465E+00	20
829.539880890912	0.0180338388807511	1.345E+00	20
1183.82931064241	0.0180338388807511	1.256E+00	20
1689.43274340343	0.0180338388807511	1.193E+00	20
2410.97510327295	0.0180338388807511	1.147E+00	20
3440.68206994254	0.0180338388807511	1.115E+00	20
4910.16812672738	0.0180338388807511	1.092E+00	20
7007.25918368044	0.0180338388807511	1.074E+00	20
9999.99999999999	0.0180338388807511	1.061E+00	20
200	0.0460361724669189	1.983E+00	20
285.418299448364	0.0460361724669189	1.852E+00	20
407.318028299979	0.0460361724669189	1.691E+00	20
581.280094860202	0.0460361724669189	1.542E+00	20
829.539880890912	0.0460361724669189	1.420E+00	20
1183.82931064241	0.0460361724669189	1.328E+00	20
1689.43274340343	0.0460361724669189	1.259E+00	20
2410.97510327295	0.0460361724669189	1.209E+00	20
3440.68206994254	0.0460361724669189	1.171E+00	20
4910.16812672738	0.0460361724669189	1.143E+00	20
7007.25918368044	0.0460361724669189	1.121E+00	20
9999.99999999999	0.0460361724669189	1.105E+00	20
200	0.117519580241233	2.473E+00	20
285.418299448364	0.117519580241233	2.320E+00	20
407.318028299979	0.117519580241233	2.114E+00	20
581.280094860202	0.117519580241233	1.911E+00	20
829.539880890912	0.117519580241233	1.738E+00	20
1183.82931064241	0.117519580241233	1.601E+00	20
1689.43274340343	0.117519580241233	1.496E+00	20
2410.97510327295	0.117519580241233	1.416E+00	20
3440.68206994254	0.117519580241233	1.354E+00	20
4910.16812672738	0.117519580241233	1.307E+00	20
7007.25918368044	0.117519580241233	1.270E+00	20
9999.99999999999	0.117519580241233	1.241E+00	20
200	0.3	4.981E+00	20
285.418299448364	0.3	4.890E+00	20
407.318028299979	0.3	4.544E+00	20
581.280094860202	0.3	4.076E+00	20
829.539880890912	0.3	3.601E+00	20
1183.82931064241	0.3	3.183E+00	20
1689.43274340343	0.3	2.841E+00	20
2410.97510327295	0.3	2.571E+00	20
3440.68206994254	0.3	2.359E+00	20
4910.16812672738	0.3	2.201E+00	20
7007.25918368044	0.3	2.060E+00	20
9999.99999999999	0.3	1.978E+00	20
200	0.365018605135923	6.625E+00	20
