diam[nm],	phi	charge	MeanR[nm]	U(<r>)	U(r_FCC)	2pi/MeanR	Salt[然]	T[K]	Eps.	Lb[nm]	kappa[1/nm]	q_max[1/nm]	Sq_max	r_max[nm]	gr_max	S(0)	Contact_value	alpha	dr[diam]	U(rm)	r_dip[nm]	Nn	gr_dip	lambda	T~
23.3305807915223	0.15	2000	   35.39115	 4.926E-03	 5.322E-05	   0.1775355	0.00101434672792838	293.16	36.7	 1.553859	 1.018E+00	 2.110E-01	 1.654E+00	 3.248E+01	 2.195E+00	 7.175E-02	 0.000E+00	 2.238E-01	0.0303388503837506	 1.030E-01	 5.0025E+01	 1.105E+01	 8.1471E-01	 3.603E+01	 2.029E+02
23.3305807915223	0.15	2000	   35.39115	 4.926E-03	 5.322E-05	   0.1775355	0.00205779856891804	293.16	36.7	 1.553859	 1.018E+00	 2.110E-01	 1.654E+00	 3.248E+01	 2.195E+00	 7.175E-02	 0.000E+00	 2.238E-01	0.0303388503837506	 1.030E-01	 5.0025E+01	 1.105E+01	 8.1471E-01	 3.603E+01	 2.029E+02
23.3305807915223	0.15	2000	   35.39115	 4.926E-03	 5.322E-05	   0.1775355	0.00417464249023545	293.16	36.7	 1.553859	 1.018E+00	 2.110E-01	 1.654E+00	 3.248E+01	 2.195E+00	 7.175E-02	 0.000E+00	 2.238E-01	0.0303388503837506	 1.030E-01	 5.0025E+01	 1.105E+01	 8.1471E-01	 3.603E+01	 2.029E+02
23.3305807915223	0.15	2000	   35.39115	 4.926E-03	 5.322E-05	   0.1775355	0.00846906990048226	293.16	36.7	 1.553859	 1.018E+00	 2.110E-01	 1.654E+00	 3.248E+01	 2.195E+00	 7.175E-02	 0.000E+00	 2.238E-01	0.0303388503837506	 1.030E-01	 5.0025E+01	 1.105E+01	 8.1471E-01	 3.603E+01	 2.029E+02
23.3305807915223	0.15	2000	   35.39115	 4.926E-03	 5.322E-05	   0.1775355	0.0171811466843019	293.16	36.7	 1.553859	 1.018E+00	 2.110E-01	 1.654E+00	 3.248E+01	 2.195E+00	 7.175E-02	 0.000E+00	 2.238E-01	0.0303388503837506	 1.030E-01	 5.0025E+01	 1.105E+01	 8.1471E-01	 3.603E+01	 2.029E+02
23.3305807915223	0.15	2000	   35.39115	 4.926E-03	 5.322E-05	   0.1775355	0.0348552798425585	293.16	36.7	 1.553859	 1.018E+00	 2.110E-01	 1.654E+00	 3.248E+01	 2.195E+00	 7.175E-02	 0.000E+00	 2.238E-01	0.0303388503837506	 1.030E-01	 5.0025E+01	 1.105E+01	 8.1471E-01	 3.603E+01	 2.029E+02
23.3305807915223	0.15	2000	   35.39115	 4.926E-03	 5.322E-05	   0.1775355	0.0707106781186547	293.16	36.7	 1.553859	 1.018E+00	 2.110E-01	 1.654E+00	 3.248E+01	 2.195E+00	 7.175E-02	 0.000E+00	 2.238E-01	0.0303388503837506	 1.030E-01	 5.0025E+01	 1.105E+01	 8.1471E-01	 3.603E+01	 2.029E+02
23.3305807915223	0.15	2000	   35.39115	 4.926E-03	 5.322E-05	   0.1775355	0.143450289958509	293.16	36.7	 1.553859	 1.018E+00	 2.110E-01	 1.654E+00	 3.248E+01	 2.195E+00	 7.175E-02	 0.000E+00	 2.238E-01	0.0303388503837506	 1.030E-01	 5.0025E+01	 1.105E+01	 8.1471E-01	 3.603E+01	 2.029E+02
23.3305807915223	0.15	2000	   35.39115	 4.926E-03	 5.322E-05	   0.1775355	0.291016664479583	293.16	36.7	 1.553859	 1.018E+00	 2.110E-01	 1.654E+00	 3.248E+01	 2.195E+00	 7.175E-02	 0.000E+00	 2.238E-01	0.0303388503837506	 1.029E-01	 5.0025E+01	 1.105E+01	 8.1471E-01	 3.603E+01	 2.029E+02
23.3305807915223	0.15	2000	   35.39115	 4.926E-03	 5.322E-05	   0.1775355	0.590383602774996	293.16	36.7	 1.553859	 1.018E+00	 2.110E-01	 1.654E+00	 3.248E+01	 2.195E+00	 7.175E-02	 0.000E+00	 2.238E-01	0.0303388503837506	 1.029E-01	 5.0025E+01	 1.105E+01	 8.1471E-01	 3.603E+01	 2.029E+02
